Nom du skin,2025-06-05,Steam - 2025-06-05,SkinBaron - 2025-06-05,Steam - 2025-06-06,SkinBaron - 2025-06-06,Steam - 2025-06-07,SkinBaron - 2025-06-07
AK-47 | The Outsiders (Field-Tested),8.58,8.58,5.64,8.58,5.64,9.62,5.71
AK-47 | The Outsiders (Minimal Wear),19.18,19.18,10.69,20.1,10.69,24.78,10.61
AK-47 | The Outsiders (Well-Worn),7.56,7.56,5.16,7.98,5.16,7.96,5.15
AK-47 | Uncharted (Battle-Scarred),0.41,0.41,0.29,0.39,0.29,0.39,0.29
AK-47 | Uncharted (Factory New),1.55,1.55,0.95,1.44,0.95,1.42,0.95
AK-47 | Uncharted (Field-Tested),0.42,0.42,0.28,0.43,0.28,0.42,0.28
AK-47 | Uncharted (Minimal Wear),0.72,0.72,0.47,0.73,0.47,0.77,0.47
AK-47 | Uncharted (Well-Worn),1.08,1.08,0.62,1.06,0.62,1.08,0.68
AK-47 | VariCamo Grey (Battle-Scarred),0.57,0.57,0.53,0.58,0.53,0.63,0.47
AK-47 | VariCamo Grey (Factory New),1.5,1.5,1.05,1.45,1.05,1.5,1.25
AK-47 | VariCamo Grey (Field-Tested),0.43,0.43,0.33,0.51,0.33,0.47,0.32
AK-47 | VariCamo Grey (Minimal Wear),0.75,0.75,0.56,0.78,0.56,0.71,0.61
AK-47 | VariCamo Grey (Well-Worn),0.84,0.84,0.67,0.94,0.67,0.95,0.68
AK-47 | Vulcan (Battle-Scarred),220.0,220.0,164.49,229.46,164.49,227.41,164.39
AK-47 | Vulcan (Factory New),1353.58,1353.58,905.18,1360.57,905.18,1350.59,942.88
AK-47 | Vulcan (Field-Tested),358.04,358.04,243.34,358.75,243.34,357.35,240.0
AK-47 | Vulcan (Minimal Wear),797.83,797.83,531.27,780.13,531.27,784.57,557.35
AK-47 | Vulcan (Well-Worn),241.51,241.51,170.59,243.72,170.59,230.0,170.41
AK-47 | Wasteland Rebel (Battle-Scarred),51.69,51.69,36.44,51.58,36.44,54.87,36.44
AK-47 | Wasteland Rebel (Factory New),386.44,386.44,220.99,384.97,220.99,384.94,221.77
